State,Year,Population,Pop_Density,Poverty_Rate,Vulnerable_Pop_Pct,Literacy_Rate,Health_Infra_Score,Heatwave_Days,Flood_Cyclone_Index
Andhra Pradesh,2000,22081788,120.0,23.595079751659984,23.29758912915246,72.89606407753696,0.5420921674983491,4,0.5065285570806426
Andhra Pradesh,2001,22346769,121.2,26.051773629396205,18.260159266026605,56.97541083743483,0.3975254964910833,6,1.9250728875828194
Andhra Pradesh,2002,22614930,122.412,20.933703652848905,24.3327677691296,60.44503211288849,0.5250837622014806,6,1.6902271064634957
Andhra Pradesh,2003,22886309,123.63612000000002,23.719016651572396,20.8268672131323,70.91272456051594,0.3484987620034773,10,0.9053367365781686
Andhra Pradesh,2004,23160945,124.87248120000001,22.706110305670556,23.096688913232132,60.00739004816287,0.423618694992635,6,10.0
Andhra Pradesh,2005,23438876,126.12120601200002,18.93846799816425,25.835028866522602,73.15499761247976,0.6367536142939438,6,0.7641701645119572
Andhra Pradesh,2006,23720143,127.38241807212002,15.961990155963832,20.411380127757987,72.66262911197099,0.7027488034284988,10,1.0054185879796647
Andhra Pradesh,2007,24004785,128.6562422528412,22.722282409429027,23.102977948602398,69.65880388267752,0.3164917302478929,7,7.477375214701562
Andhra Pradesh,2008,24292842,129.94280467536962,24.80868998914883,27.474559958796082,71.0855843502814,0.6077415475035807,11,2.7471903983463895
Andhra Pradesh,2009,24584356,131.2422327221233,12.907775547697513,22.738064031703924,68.68642741736616,0.4887267276934057,11,3.431230177456483
Andhra Pradesh,2010,24879368,132.55465504934455,17.044906185381134,24.01181191329421,73.38877049716764,0.5689165626313332,11,3.118463124880872
Andhra Pradesh,2011,25177921,133.880201599838,14.65678204921587,22.301106811191683,72.0982568254382,0.554582921506056,7,8.220859544510768
Andhra Pradesh,2012,25480056,135.21900361583639,17.870413606140314,21.343462878513453,70.41627487115903,0.6967346158240758,11,2.132192613594758
Andhra Pradesh,2013,25785817,136.57119365199475,21.35929676549054,26.34546861533193,66.61524644560959,0.48654520642988686,12,2.000735536708529
Andhra Pradesh,2014,26095246,137.93690558851472,20.75772961699325,26.542204297729917,74.27416505995737,0.5139774129168914,13,2.314874668270061
Andhra Pradesh,2015,26408389,139.31627464439984,13.151909978636072,26.361253811227357,79.79297789503703,0.5765181217977948,13,2.045892653621026
Andhra Pradesh,2016,26725290,140.70943739084385,10.380773659702221,21.684657751520223,78.99336774095447,0.6612486590167428,13,3.666088310971926
Andhra Pradesh,2017,27045994,142.11653176475227,16.612059000572263,32.160507499768855,78.32833673882503,0.6021410932300462,9,4.632421965738185
Andhra Pradesh,2018,27370546,143.5376970823998,17.055205666710044,26.221022453843215,73.53768883827665,0.8132459753884329,11,3.112865578576793
Andhra Pradesh,2019,27698992,144.9730740532238,18.684562464781223,20.262783663864035,77.26590462925591,0.7812380855674604,13,4.666326788794294
Andhra Pradesh,2020,28031380,146.42280479375606,23.344541053174257,24.154082578438906,81.36223578830227,0.8779438252917285,15,3.2689052106677376
Andhra Pradesh,2021,28367757,147.8870328416936,19.69021160325196,25.541357852736628,80.17523843153023,0.98,17,5.546376621278792
Andhra Pradesh,2022,28708170,149.36590317011053,17.59377694905843,24.528542766156963,72.43717314169993,0.5999077928151392,8,2.731510260527142
Andhra Pradesh,2023,29052668,150.85956220181166,29.68795140004105,18.398204422224758,82.23130095187257,0.6014740954572417,3,7.08337842384534
Andhra Pradesh,2024,29401300,152.36815782382976,10.041278358224659,22.9955482578158,87.2019007056644,0.8254261200085298,11,3.103027572474743
Andhra Pradesh,2025,29754115,153.89183940206806,15.273431039422883,22.04519895718255,90.71972044662662,0.9010702826781614,15,6.964134949331716
Arunachal Pradesh,2000,23364990,374.0,20.244875569403796,23.655790675599302,67.52493639490228,0.5538906233004146,4,3.1346232194419392
Arunachal Pradesh,2001,23645369,377.74,17.03469627398973,26.753585841164327,76.21078098506317,0.5888958312661376,4,0.42845098059994013
Arunachal Pradesh,2002,23929114,381.5174,26.86291656887737,26.32390216028801,61.565347642109586,0.472856957272584,7,1.413460011637654
